id,zoneClim,moi,>=alt,<alt,inertieLourde,DH19,Nref19,E,Text,Tefs
182,H3,2,400,800,non,"7375,6",670,"91,37","7,4","9,7"
183,H3,3,400,800,non,"7568,3",730,"109,83","8,2","9,4"
184,H3,4,400,800,non,"4804,5",670,"115,14","11,8",10
185,H3,5,400,800,non,0,0,0,0,"15,2"
186,H3,6,400,800,non,0,0,0,0,"18,7"
187,H3,7,400,800,non,0,0,0,0,"19,4"
188,H3,8,400,800,non,0,0,0,0,"23,4"
189,H3,9,400,800,non,0,0,0,0,18
190,H3,10,400,800,non,"1871,3",240,"33,73","11,4","17,8"
191,H3,11,400,800,non,"7441,6",704,"85,22",8,"12,7"
192,H3,12,400,800,non,"9142,7",744,75,"5,6","10,1"
193,H1a,1,800,*,non,0,0,0,0,0
194,H1a,2,800,*,non,0,0,0,0,0
195,H1a,3,800,*,non,0,0,0,0,0
196,H1a,4,800,*,non,0,0,0,0,0
197,H1a,5,800,*,non,0,0,0,0,0
198,H1a,6,800,*,non,0,0,0,0,0
199,H1a,7,800,*,non,0,0,0,0,0
200,H1a,8,800,*,non,0,0,0,0,0
201,H1a,9,800,*,non,0,0,0,0,0
202,H1a,10,800,*,non,0,0,0,0,0
203,H1a,11,800,*,non,0,0,0,0,0
204,H1a,12,800,*,non,0,0,0,0,0
205,H1b,1,800,*,non,"13156,7",744,"31,13","0,7","2,9"
206,H1b,2,800,*,non,"11562,7",672,"45,92","1,2","2,1"
207,H1b,3,800,*,non,"11177,8",744,"61,88","3,3","2,4"
208,H1b,4,800,*,non,"8706,2",718,"79,71","6,3","3,6"
209,H1b,5,800,*,non,"6074,9",682,"86,58","10,4","7,3"
210,H1b,6,800,*,non,"2889,6",462,"68,66","14,1","10,9"
211,H1b,7,800,*,non,0,0,0,0,"12,9"
212,H1b,8,800,*,non,"810,3",114,"14,78","11,4","13,3"
213,H1b,9,800,*,non,"4600,9",633,"88,7","12,2","12,8"
214,H1b,10,800,*,non,"6562,7",628,"61,93","8,4","10,6"
215,H1b,11,800,*,non,"11353,8",720,"33,95","2,6","6,5"
216,H1b,12,800,*,non,"13428,5",744,"37,72","-0,2","3,9"
217,H1c,1,800,*,non,"13829,2",744,"47,86","-0,2","2,1"
218,H1c,2,800,*,non,"12378,3",672,"55,9","-0,1","0,4"
219,H1c,3,800,*,non,"10330,9",744,"91,2","4,5","4,5"
220,H1c,4,800,*,non,7787,711,"86,83","7,6",5
